image,type
D:\dataset\hair\data\curly\00cbad1ffe22d900018e5a2e7376daed4.jpg,0
D:\dataset\hair\data\curly\0160dfee18352aa9bf5c6e617de9e07b4.jpg,0
D:\dataset\hair\data\curly\03312ac556a7d003f7570657f80392c34.jpg,0
D:\dataset\hair\data\curly\0fd85bcde626a95e20489c83f292d8204.jpg,0
D:\dataset\hair\data\curly\1-curly-hair-with-bangs-CYFg6l_Ls4-.jpg,0
D:\dataset\hair\data\curly\106dfcf4abe76990b585b2fc2e3c9f884.jpg,0
D:\dataset\hair\data\curly\13-long-curly-haircut-BclM5gMly7s.jpg,0
D:\dataset\hair\data\curly\1431bae992a4a870c351bc4ffbcbd3ac.jpg,0
D:\dataset\hair\data\curly\1a9dbe23a0d95f1c292625960e4509184.jpg,0
D:\dataset\hair\data\curly\1ead97140aa6a90385d5c9e6b7fef476.png,0
D:\dataset\hair\data\curly\20-amazing-hairstyles-for-curly-hair-for-girls.jpg,0
D:\dataset\hair\data\curly\26e527c40927d512f5c85118c43c69554.jpg,0
D:\dataset\hair\data\curly\271c1544d1ae724715b63a19835d5636.jpg,0
D:\dataset\hair\data\curly\2a6d1e3e1c692ca898e3d3a75fd5043b4.jpg,0
D:\dataset\hair\data\curly\3096789d68fcce2222e84f513be4adf04.jpg,0
D:\dataset\hair\data\curly\341ea26e6677b655f8447af56073204a4.jpg,0
D:\dataset\hair\data\curly\3ccurls-1622124264.png,0
D:\dataset\hair\data\curly\40f07442f2e1adb5888b4dec280791824.jpg,0
D:\dataset\hair\data\curly\5d6da4c89b006262ecfab1f48c5e197f (3).jpg,0
D:\dataset\hair\data\curly\5fa73670458d4f139532b6d26c2e3681.Culry-Hair-Dry-Cut.png,0
D:\dataset\hair\data\curly\61aPFVrm42L._SL1352_.jpg,0
D:\dataset\hair\data\curly\6ae1c0933c9f15526012f38cee1696284.jpg,0
D:\dataset\hair\data\curly\6d8acb0fe980774ea4e5631198587f45.png,0
D:\dataset\hair\data\curly\769e8e23280cdb066660bdbc85722169.jpg,0
D:\dataset\hair\data\curly\7f5649a0c33a2b334f23221a52c16b9b.jpg,0
D:\dataset\hair\data\curly\84011171.jpg,0
D:\dataset\hair\data\curly\8499155.jpg,0
D:\dataset\hair\data\curly\8674d5c0392c7ba194d3609dea0d9115 (3).jpg,0
D:\dataset\hair\data\curly\90146673.jpg,0
D:\dataset\hair\data\curly\90ddc46b2d0fc908f90205bc54235783.jpg,0
D:\dataset\hair\data\curly\99dd012b20e25bb446a8afdca933dd74--long-curly-hair-naturally-curly-hair.jpg,0
D:\dataset\hair\data\curly\9acd1da3425e52c5c96782f41d19f1f2--daily-hairstyles-hairstyles-for-black-women.jpg,0
D:\dataset\hair\data\curly\9afdf6678845a5a7c265d1aa358bbb23--big-curl-perm-perms-long-hair.jpg,0
D:\dataset\hair\data\curly\9b3608e01d78fbabc9fb0719323d507f4.jpg,0
D:\dataset\hair\data\curly\A-selfie-picture-of-a-curly-hair-guy-from-Brazil-sporting-a-man-bun-hairstyle-with-his-long-curls.jpg,0
D:\dataset\hair\data\curly\ACC-haircream-3_1500x.jpg,0
D:\dataset\hair\data\curly\b171c99161f3cffc12d4b74488ef2fc6.jpg,0
D:\dataset\hair\data\curly\b510a2e81771d484a63bd8e57ff44d2d.png,0
D:\dataset\hair\data\curly\b6f42eb884d495e44aaf5d5a6a9cf927.jpg,0
D:\dataset\hair\data\curly\b848454ffebb4c4871a2e10f7ee5753d4.png,0
D:\dataset\hair\data\curly\b988bd16d0f7df26b3ae0fa2cb94c67e.jpg,0
D:\dataset\hair\data\curly\baddie-selfie-curly-hair-Favim.com-6977288.jpg,0
D:\dataset\hair\data\curly\banner_a35a69bd-5f12-4247-ab40-c3b94fb4faff.jpg,0
D:\dataset\hair\data\curly\bc57f62544416fbbfc6604d42ef3f445--curly-bun-natural-curly-hair.jpg,0
D:\dataset\hair\data\curly\Beautiful2BIndian2BGirl2BSai2BPallavi2BCurly2Bhair2BSmiling2BFace2BCloseup2B2528122529.jpg,0
D:\dataset\hair\data\curly\Beautifull2BCurly2BHairstyles2Bideas.jpg,0
D:\dataset\hair\data\curly\beauty-2016-03-curly-hair-fall-2016-beauty-trends-main.jpg,0
D:\dataset\hair\data\curly\Beauty202.png,0
D:\dataset\hair\data\curly\besthairstylesforindianmen15_1378796017.jpg,0
D:\dataset\hair\data\curly\blogger_one.jpg,0
D:\dataset\hair\data\curly\blonde-girl-voluminous-curly-hair-600w-1432618526.jpg,0
D:\dataset\hair\data\curly\By_cQI8CUAEz8vt.jpg,0
D:\dataset\hair\data\curly\c03ca1590aa4df74e922ad8257305a2b.jpg,0
D:\dataset\hair\data\curly\c072a9e12a485e8f4fd1e2619460775e4.jpg,0
D:\dataset\hair\data\curly\c1.jpg,0
D:\dataset\hair\data\curly\c1b89bb4f86a3478ec20ce1f63f003c1.jpg,0
D:\dataset\hair\data\curly\c26f92d7ae9e9f485ccdc735e2af2b1c--short-curly-hair-black-bangs-curly-hair.jpg,0
D:\dataset\hair\data\curly\c3.jpg,0
D:\dataset\hair\data\curly\c4.jpg,0
D:\dataset\hair\data\curly\c4777f277e1e0ac0932cf18de876c24b.jpg,0
D:\dataset\hair\data\curly\c4e68de882927fd4c0d2b1c75d14e9b9.jpg,0
D:\dataset\hair\data\curly\c5.jpg,0
D:\dataset\hair\data\curly\c6.jpg,0
D:\dataset\hair\data\curly\c6d1892ba80fc4ed38ab8588b77a1800.jpg,0
D:\dataset\hair\data\curly\c8.jpg,0
D:\dataset\hair\data\curly\C86_76156_405725089516021_1474585421_n.jpg,0
D:\dataset\hair\data\curly\c8854ccbddafc4fe5aa7727b74335613.jpg,0
D:\dataset\hair\data\curly\cd46e02698a09021cc78cd77ddefa609.jpg,0
D:\dataset\hair\data\curly\CG-Divya2.jpg,0
D:\dataset\hair\data\curly\CG-Elizabeth.jpg,0
D:\dataset\hair\data\curly\Chikan-work-Kurta-and-White-Palazzos10.jpg,0
D:\dataset\hair\data\curly\curl-tips-styling-1561743013.jpg,0
D:\dataset\hair\data\curly\Curls-1600x900.jpg,0
D:\dataset\hair\data\curly\curls.jpg,0
D:\dataset\hair\data\curly\curly-hair (2).jpg,0
D:\dataset\hair\data\curly\Curly-Hair(1).jpg,0
D:\dataset\hair\data\curly\curly-hair-.jpg,0
D:\dataset\hair\data\curly\curly-hair-251.jpg,0
D:\dataset\hair\data\curly\curly-hair-412.jpg,0
D:\dataset\hair\data\curly\curly-hair-fb.jpg,0
D:\dataset\hair\data\curly\curly-hair-india-6.jpg,0
D:\dataset\hair\data\curly\curly-hair-man.jpg,0
D:\dataset\hair\data\curly\curly-hair-model_18028937ed8_medium.jpg,0
D:\dataset\hair\data\curly\curly-hair-products-1674078075.png,0
D:\dataset\hair\data\curly\curly-hair-products-india-1.jpg,0
D:\dataset\hair\data\curly\curly-hair-routine-293046-1620333779808-main.700x0c.jpg,0
D:\dataset\hair\data\curly\curly-hair-soumya-sukumar102t.jpg,0
D:\dataset\hair\data\curly\Curly-Hair-Styling-Tips.jpg,0
D:\dataset\hair\data\curly\Curly-Hair-Tip-3-Moisturize-Dry-Ends.jpg,0
D:\dataset\hair\data\curly\curly-hair.jpg,0
D:\dataset\hair\data\curly\Curly-HairOI.jpg,0
D:\dataset\hair\data\curly\curly-hairstyles-for-teenage-girls.jpg,0
D:\dataset\hair\data\curly\Curly-hair_1024x400.jpg,0
D:\dataset\hair\data\curly\Curly20Hair20-20Tout.jpg,0
D:\dataset\hair\data\curly\CURLY20HAIR2020042320default-jaymejo.jpg,0
D:\dataset\hair\data\curly\CurlyHair-Productsin-India.png,0
D:\dataset\hair\data\curly\CurlyHair_WavyHair_Mositure_Cover.jpg,0
D:\dataset\hair\data\curly\curly_girl_method_hair_types_1_900x_1.png,0
D:\dataset\hair\data\curly\curtain-bangs-on-curly-hair.jpg,0
D:\dataset\hair\data\curly\cury-hair-4dec18-default.jpg,0
D:\dataset\hair\data\curly\d025636465d6cee2d208d8956928ceb6.jpg,0
D:\dataset\hair\data\curly\d7a9e7b2643125ac63af3c72c083a264.jpg,0
D:\dataset\hair\data\curly\Dense-Curly-Hair-for-Indian-Girls.jpg,0
D:\dataset\hair\data\curly\D_PhAiMUcAARNLt.jpg,0
D:\dataset\hair\data\curly\e4ac7e22df892e57c7d4d7da08408f602.jpg,0
D:\dataset\hair\data\curly\ea9f0b6c2d9b3238dc993c1c56463376.jpg,0
D:\dataset\hair\data\curly\easy-hairstyles-for-curly-hair-high-ponytail.jpg,0
D:\dataset\hair\data\curly\ecbc8abdd63850d81fa5b3d0ba92ab96.jpg,0
D:\dataset\hair\data\curly\EK_Anjana-Muralidharan-Curls-and-Beauty-Diary.jpg,0
D:\dataset\hair\data\curly\f0c70f8631f5e3bb66b9d5db71454e35--b-hair-curly-hair.jpg,0
D:\dataset\hair\data\curly\f192d35e34fe2a393067927d2bf581c8.jpg,0
D:\dataset\hair\data\curly\f30986c3b61473bc1153884a808963af.jpg,0
D:\dataset\hair\data\curly\f42eaa0ccafe65003c609ea552dc5445--dry-frizzy-hair-wavy-hair.jpg,0
D:\dataset\hair\data\curly\f6b904e34dda9e35cdf8004037d882504.jpg,0
D:\dataset\hair\data\curly\f8806d10b38e2f9dc85e34c98627a62f.jpg,0
D:\dataset\hair\data\curly\fbf76fc32ca2d78499584388c798f8b9.jpg,0
D:\dataset\hair\data\curly\fe501fa65e1a9a27fc6074cc2b6f03184.jpg,0
D:\dataset\hair\data\curly\ff4f0cee4bc2f4f0be83df52ada7a46f4.jpg,0
D:\dataset\hair\data\curly\frizzy-or-curly-hair-featured-image.jpg,0
D:\dataset\hair\data\curly\gettyimages-1011227220-1-1579869345.jpg,0
D:\dataset\hair\data\curly\gettyimages-163923632-brand-new-images-opener-1518544892.jpg,0
D:\dataset\hair\data\curly\GettyImages-486112594.jpg,0
D:\dataset\hair\data\curly\GettyImages-646055712_trans_NvBQzQNjv4BqDo1PhbPPiB1HBZscUHLBE78-ICSbD7iLWCuXgZfDuIk.jpg,0
D:\dataset\hair\data\curly\girl-teen-telephone-make-selfie-afro-curls-curly-hair-connect.jpg,0
D:\dataset\hair\data\curly\Golden-Shoulder-Length-Volume-Curls.jpg,0
D:\dataset\hair\data\curly\grow-longer-curly-hair_750x500_6.jpg,0
D:\dataset\hair\data\curly\guidetocurly_1024x1024.jpg,0
D:\dataset\hair\data\curly\hair-care-tips-for-naturally-curly-hair.jpg,0
D:\dataset\hair\data\curly\hair-ideas-2016-03-yara-shahidi-2015-curls-we-love.jpg,0
D:\dataset\hair\data\curly\hairstyles-for-curly-hair-2015-1.jpg,0
D:\dataset\hair\data\curly\hairstyles_for_curly_hair.jpg,0
D:\dataset\hair\data\curly\handsome-and-attractive-young-indian-man-with-black-fashionable-curly-HFCD3F.jpg,0
D:\dataset\hair\data\curly\header_Hair-Care-Tips-For-Curly-Hair_5f36b71a9112f.jpeg,0
D:\dataset\hair\data\curly\How-Style-Curly-Hair-101.jpg,0
D:\dataset\hair\data\curly\how-style-every-type-curly-hair-9d7733cd.jpg,0
D:\dataset\hair\data\curly\How-To-Fix-Limp-Curls-The-Science-Behind-It-scaled.jpeg,0
D:\dataset\hair\data\curly\how20to20tell20your20curl20type20lede.jpg,0
D:\dataset\hair\data\curly\How_to_care_for_curly_hair.jpg,0
D:\dataset\hair\data\curly\iDiva_Naturally-Curly-Hair_Mithila_5d721260d3eac.jpg,0
D:\dataset\hair\data\curly\image.jpg,0
D:\dataset\hair\data\curly\image100.jpg,0
D:\dataset\hair\data\curly\image102.jpg,0
D:\dataset\hair\data\curly\image104.jpg,0
D:\dataset\hair\data\curly\image105.jpg,0
D:\dataset\hair\data\curly\image107.jpg,0
D:\dataset\hair\data\curly\image108.jpg,0
D:\dataset\hair\data\curly\image111.jpg,0
D:\dataset\hair\data\curly\image113.jpg,0
D:\dataset\hair\data\curly\image114.jpg,0
D:\dataset\hair\data\curly\image115.jpg,0
D:\dataset\hair\data\curly\image12.jpg,0
D:\dataset\hair\data\curly\image127.jpg,0
D:\dataset\hair\data\curly\image129.jpg,0
D:\dataset\hair\data\curly\image13.jpeg,0
D:\dataset\hair\data\curly\image13.jpg,0
D:\dataset\hair\data\curly\image130.jpg,0
D:\dataset\hair\data\curly\image133.jpg,0
D:\dataset\hair\data\curly\image134.jpg,0
D:\dataset\hair\data\curly\image136.jpg,0
D:\dataset\hair\data\curly\image138.jpg,0
D:\dataset\hair\data\curly\image139.jpg,0
D:\dataset\hair\data\curly\image144.jpg,0
D:\dataset\hair\data\curly\image145.jpg,0
D:\dataset\hair\data\curly\image146.jpg,0
D:\dataset\hair\data\curly\image147.jpg,0
D:\dataset\hair\data\curly\image149.jpg,0
D:\dataset\hair\data\curly\image15.jpeg,0
D:\dataset\hair\data\curly\image15.jpg,0
D:\dataset\hair\data\curly\image152.jpg,0
D:\dataset\hair\data\curly\image153.jpg,0
D:\dataset\hair\data\curly\image154.jpg,0
D:\dataset\hair\data\curly\image155.jpg,0
D:\dataset\hair\data\curly\image156.jpg,0
D:\dataset\hair\data\curly\image157.jpg,0
D:\dataset\hair\data\curly\image158.jpg,0
D:\dataset\hair\data\curly\image159.jpg,0
D:\dataset\hair\data\curly\image16.jpg,0
D:\dataset\hair\data\curly\image160.jpg,0
D:\dataset\hair\data\curly\image161.jpg,0
D:\dataset\hair\data\curly\image162.jpg,0
D:\dataset\hair\data\curly\image163.jpg,0
D:\dataset\hair\data\curly\image165.jpg,0
D:\dataset\hair\data\curly\image169.jpg,0
D:\dataset\hair\data\curly\image17.jpg,0
D:\dataset\hair\data\curly\image170.jpg,0
D:\dataset\hair\data\curly\image171.jpg,0
D:\dataset\hair\data\curly\image172.jpg,0
D:\dataset\hair\data\curly\image174.jpg,0
D:\dataset\hair\data\curly\image175.jpg,0
D:\dataset\hair\data\curly\image176.jpg,0
D:\dataset\hair\data\curly\image177.jpg,0
D:\dataset\hair\data\curly\image179.jpg,0
D:\dataset\hair\data\curly\image180.jpg,0
